AI and Machine Learning,Bioinformatics,Cybersecurity,Data Sciences,Software Engineering,Robotics,Synthetic Biology,Pharmacology and pharmaceuticals,Tissue Engineering,Regenerative Medicine
,,,,Snead M.P.(7006657695),,,,,
,,,,Richards A.J.(7402299938),,,,,
,,,,Fincham G.S.(30467598900),,,,,
,,,,McNinch A.M.(36546363900),,,,,
,,,,Spickett C.(56596470600),,,,,
,,,,Hysi P.(57203644841),,,,,
,,,,Prescott A.(57205138085),,,,,
,,,,Modregger P.(14122046600),,,,,
,,,,Solfrizzi V.(7003837379),,,,,
,,,,Quaranta N.(7005390248),,,,,
,,,,Tortelli R.(23398213500),,,,,
,,,,Tursi M.(36159905800),,,,,
,,,,Capozzo R.(36467923800),,,,,
,,,,Casulli M.(56191939300),,,,,
,,,,Grasso A.(56536133400),,,,,
,,,,Lanza F.(56536150400),,,,,
,,,,Barulli O.(56537000600),,,,,
,,,,Sobbà C.(56537064000),,,,,
,,,,Coppola F.(56602537900),,,,,
,,,,Leo A.(57217677058),,,,,
,,,,Mattey D.(7004540174),,,,,
,,,,Atkinson T.(7102823761),,,,,
,,,,Barker J.(7401680911),,,,,
,,,,Fisher R.(16189502600),,,,,
,,,,Latin J.(36447308000),,,,,
,,,,Ainsworth M.(50161009900),,,,,
,,,,Durrell R.(55758550200),,,,,
,,,,Christakou A.(6506130967),,,,,
,,,,Giampietro V.(6602160284),,,,,
,,,,Deoni S.C.(6603112432),,,,,
,,,,Rubia K.(6701327490),,,,,
,,,,Jezzard P.(7004050544),,,,,
,,,,Happe F.(7004098522),,,,,
,,,,Suckling J.(7004124496),,,,,
,,,,Wheelwright S.(7004365890),,,,,
,,,,Baron-Cohen S.(7006016927),,,,,
,,,,Simmons A.(7101619950),,,,,
,,,,Murphy C.M.(7401764127),,,,,
,,,,Bailey A.J.(7402596134),,,,,
,,,,Murphy D.G.(7404062227),,,,,
,,,,Jones D.K.(16935234900),,,,,
,,,,Bolton P.F.(22946425500),,,,,
,,,,Pasco G.(23480329800),,,,,
,,,,Lombardo M.(23980659600),,,,,
,,,,Carrington S.(27367495800),,,,,
,,,,Chakrabarti B.(35253357900),,,,,
,,,,Bullmore E.T.(35405771500),,,,,
,,,,Williams S.C.(35419560700),,,,,
,,,,Mullins D.(36446170700),,,,,
,,,,Spain D.(36446899300),,,,,
,,,,Chantiluke K.(53363192200),,,,,
,,,,Steward R.(54921744700),,,,,
,,,,Henty J.(54921745300),,,,,
,,,,Carlisi C.O.(55037261300),,,,,
,,,,Johnston P.(56351692800),,,,,
,,,,Ecker C.(56374388200),,,,,
,,,,Norman L.(57023384900),,,,,
,,,,Madden A.(57201372671),,,,,
,,,,Daly E.M.(57202326782),,,,,
,,,,Simmon A.(57220255724),,,,,
,,,,Parfrey H.(6602439258),,,,,
,,,,Flather M.D.(7005894825),,,,,
,,,,Ashby D.(26425387600),,,,,
,,,,Babalis D.(26640284600),,,,,
,,,,Keir G.J.(36676451500),,,,,
,,,,Saunders P.(57189075311),,,,,
,,,,Tsipouri V.(57193854847),,,,,
,,,,Jongbloed J.(6602792436),,,,,
,,,,van Tintelen J.(6602816687),,,,,
,,,,Suurmeijer A.(7004495836),,,,,
,,,,Vink A.(7005881225),,,,,
,,,,Asselbergs F.(7006736234),,,,,
,,,,van den Berg M.(7201697014),,,,,
,,,,de Boer R.(8572907800),,,,,
,,,,van der Zwaag P.(26030717000),,,,,
,,,,te Rijdt W.(56012012800),,,,,
,,,,van der Klooster Z.(56955593400),,,,,
,,,,Hoorntje E.(57192077599),,,,,
,,,,Dooijes D.(57201346131),,,,,
,,,,Jayachandran R.(6603019392),,,,,
,,,,Moshous D.(6603167051),,,,,
,,,,Bumann D.(7003401448),,,,,
,,,,Pieters J.(7006329030),,,,,
,,,,Khanna N.(7102045384),,,,,
,,,,Medina E.(7103177285),,,,,
,,,,Holländer G.(8070632900),,,,,
,,,,Stiess M.(8868114800),,,,,
,,,,Kunz G.(22980271600),,,,,
,,,,Fucile G.(25931317200),,,,,
,,,,Siegmund K.(26021529000),,,,,
,,,,Tchang V.(35091610300),,,,,
,,,,Karrer U.(35278312800),,,,,
,,,,Mazumder S.(35942113100),,,,,
,,,,Li J.(55154570200),,,,,
,,,,Claudi B.(55440485000),,,,,
,,,,Dertschnig S.(55901438600),,,,,
,,,,Lang M.J.(55915876900),,,,,
,,,,Rossi S.W.(56665106900),,,,,
,,,,Woischnig A.K.(57188829125),,,,,
,,,,Bolinger B.(57202217464),,,,,
,,,,Ruehl S.(57205446711),,,,,
,,,,Gumienny A.(57205447839),,,,,
,,,,Schmaler M.(57211975161),,,,,
,,,,Fabian I.D.(35310047800),,,,,
,,,,Koudstaal S.(50061602500),,,,,
,,,,Asselbergs F.(57202567488),,,,,
,,,,Protheroe J.(6506754531),,,,,
,,,,Yardley S.(6506760042),,,,,
,,,,Rees E.(56196530300),,,,,
,,,,Cottrell E.(56363356800),,,,,
,,,,Hu R.(7202640793),,,,,
,,,,Wang Y.(36664052900),,,,,
,,,,Wu Y.(55767262500),,,,,
,,,,Zhou F.(56453758800),,,,,
,,,,Wong K.(57201642102),,,,,
,,,,Rüsch N.(8565864900),,,,,
,,,,Corrigan P.(56788845300),,,,,
,,,,Habazettl H.(7004267026),,,,,
,,,,Pries A.R.(7004297733),,,,,
,,,,Orso F.(14523222700),,,,,
,,,,Dunkel M.(15759296600),,,,,
,,,,Coats C.J.(25027144700),,,,,
,,,,Van de Werf F.(36048879600),,,,,
,,,,Wood D.A.(57039462400),,,,,
,,,,Preissner R.(57193352788),,,,,
,,,,Tornada A.(57203515895),,,,,
,,,,Naoum A.(57203517856),,,,,
,,,,Ahmed O.H.(36494002400),,,,,
,,,,de Medici A.(56618780100),,,,,
,,,,Kumar B.(56692158300),,,,,
,,,,Makalanda H.L.(56986609300),,,,,
,,,,Sylvester R.(57192067311),,,,,
,,,,Rogers T.(57195377689),,,,,
,,,,Hornby K.(57195380818),,,,,
,,,,Edwards D.(57214402686),,,,,
,,,,Kneale D.(25824329300),,,,,
,,,,Thomas J.(55574208397),,,,,
,,,,Harris K.(57102592500),,,,,
,,,,Meek J.(7102666483),,,,,
,,,,Robertson N.(7102941268),,,,,
,,,,Fitzgerald M.(7402773525),,,,,
,,,,Slater R.(36057048100),,,,,
,,,,Williams G.(56390770900),,,,,
,,,,Tracey I.(57191026623),,,,,
,,,,Fabrizi L.(57203193780),,,,,
,,,,Jackson D.(57214265255),,,,,
,,,,Schorge S.(6507085620),,,,,
,,,,Snowball A.(56650876400),,,,,
,,,,De Vocht F.(6508311548),,,,,
,,,,Hickman M.(7101974395),,,,,
,,,,Brennan A.(55585019700),,,,,
,,,,Angus C.(55601225500),,,,,
,,,,Campbell R.(55819464700),,,,,
,,,,Aranow C.(6603739260),,,,,
,,,,Bernatsky S.(6701500222),,,,,
,,,,Inanc M.(6701749327),,,,,
,,,,Kalunian K.C.(7003667407),,,,,
,,,,Steinsson K.(7003787920),,,,,
,,,,Nived O.(7003933292),,,,,
,,,,Ramos-Casals M.(7004350246),,,,,
,,,,Ruiz-Irastorza G.(7004424486),,,,,
,,,,Van Vollenhoven R.F.(7004564883),,,,,
,,,,Urowitz M.B.(7004987887),,,,,
,,,,Farewell V.(7005718187),,,,,
,,,,Fortin P.R.(7005723300),,,,,
,,,,Ramsey-Goldman R.(7005738540),,,,,
,,,,Hanly J.G.(7006008451),,,,,
,,,,Sturfelt G.K.(7007138118),,,,,
,,,,Gladman D.D.(7101886689),,,,,
,,,,Dooley M.A.(7102971989),,,,,
,,,,Merrill J.T.(7202263466),,,,,
,,,,Wallace D.J.(7402643779),,,,,
,,,,Clarke A.E.(7403682974),,,,,
,,,,Lim S.(7404081090),,,,,
,,,,Kamen D.L.(11838940900),,,,,
,,,,Petri M.(15830375100),,,,,
,,,,Zoma A.A.(24179023100),,,,,
,,,,Peschken C.A.(24344927500),,,,,
,,,,Ginzler E.M.(26647637500),,,,,
,,,,Khamashta M.A.(35378654100),,,,,
,,,,Alarcón G.S.(35405803900),,,,,
,,,,Mackay M.(35472776200),,,,,
,,,,O'Keeffe A.G.(52164155000),,,,,
,,,,Manzi S.(55751743167),,,,,
,,,,Sanchez-Guerrero J.(55989756600),,,,,
,,,,Romero-Diaz J.(56000768700),,,,,
,,,,Su L.(56865168700),,,,,
,,,,Bae S.C.(56902138700),,,,,
,,,,Fessler B.J.(57193545325),,,,,
,,,,Rahman A.(57212819228),,,,,
,,,,Zervas G.(9274397600),,,,,
,,,,Nakanishi T.(35220525600),,,,,
,,,,Hayashi T.(55735970600),,,,,
,,,,Saljoghei A.(56023875100),,,,,
,,,,Liu Z.(56115496300),,,,,
,,,,Yuan H.(56680494700),,,,,
,,,,Sillekens E.(57110425500),,,,,
,,,,Wörhoff K.(6602450449),,,,,
,,,,Tichem M.(6602649033),,,,,
,,,,Prak A.(6602894897),,,,,
,,,,Leijtens X.J.M.(6701470028),,,,,
,,,,Wale M.(7003950726),,,,,
,,,,Santos R.(8693075800),,,,,
,,,,Robbins D.(8710138600),,,,,
,,,,Leinse A.(12240640400),,,,,
,,,,Uhlig P.(22936363100),,,,,
,,,,Flintham B.(23666666400),,,,,
,,,,Postma F.(35572117200),,,,,
,,,,Seyfried M.(35782329500),,,,,
,,,,Balcells-Ventura J.(55817224200),,,,,
,,,,Peters T.J.(56204854700),,,,,
,,,,Wu K.(57189759347),,,,,
,,,,Renukappa V.(57190687189),,,,,
,,,,Amaning-Appiah B.(57190689575),,,,,
,,,,Rose D.(57197366195),,,,,
,,,,Vollrath G.(57213550026),,,,,
,,,,Charitopoulos V.(57189662256),,,,,
,,,,Höglinger G.(6602778605),,,,,
,,,,Hapfelmeier A.(35798264200),,,,,
,,,,Kontaxopoulou D.(55351956300),,,,,
,,,,Oertel W.(57198197973),,,,,
,,,,Krivov A.(7003545288),,,,,
,,,,Löhne T.(14424354100),,,,,
,,,,Kirchschlager F.(55633098300),,,,,
,,,,Wolf S.(57203438570),,,,,
,,,,Kim M.(57206001353),,,,,
,,,,Foot B.(6603204154),,,,,
,,,,Tuft S.(7004454391),,,,,
,,,,Bunce C.(7005268305),,,,,
,,,,Xing W.(8242134200),,,,,
,,,,Petrushkin H.(10142675000),,,,,
,,,,Barsam A.(15520956300),,,,,
,,,,Mahroo O.(6507036910),,,,,
,,,,von Hanno T.(6603549741),,,,,
,,,,Vingerling J.R.(6603813300),,,,,
,,,,Creuzot-Garcher C.(6701311678),,,,,
,,,,Klaver C.C.W.(6701792190),,,,,
,,,,Kuijpers R.W.A.M.(6701822323),,,,,
,,,,Bertelsen G.(7003479626),,,,,
,,,,Delcourt C.(7003677387),,,,,
,,,,Korobelnik J.F.(7003687098),,,,,
,,,,Pfeiffer N.(7005189998),,,,,
,,,,Dartigues J.F.(7101729170),,,,,
,,,,Bron A.(7103248039),,,,,
,,,,Anastasopoulos E.(8873282000),,,,,
,,,,Erke M.G.(8958553400),,,,,
,,,,Hogg R.(15052073200),,,,,
,,,,Wolfram C.(25029497500),,,,,
,,,,Fletcher A.(34568608000),,,,,
,,,,van Duijn C.M.(36037246700),,,,,
,,,,Verhoeven V.J.M.(36629474500),,,,,
,,,,Buitendijk G.H.S.(46061782900),,,,,
,,,,Gieger C.(55138342700),,,,,
,,,,Khawaja A.P.(55195093800),,,,,
,,,,Williams K.M.(55303290400),,,,,
,,,,Höhn R.(55581018800),,,,,
,,,,Cougnard-Grégoire A.(55637219900),,,,,
,,,,Mirshahi A.(57191088793),,,,,
,,,,Rahi J.(57191956020),,,,,
,,,,Topouzis F.(57194262710),,,,,
,,,,Luben R.N.(57204537801),,,,,
,,,,Cumberland P.(57211811127),,,,,
,,,,Meitinger T.(57215631099),,,,,
,,,,Chadès I.(6507138908),,,,,
,,,,Possingham H.P.(7006846637),,,,,
,,,,Halpern B.S.(7103099423),,,,,
,,,,Beger M.(8530143500),,,,,
,,,,Tulloch A.I.T.(15752345400),,,,,
,,,,McDonald-Madden E.(25031826200),,,,,
,,,,Giakoumi S.(36628317100),,,,,
,,,,Evans M.C.(37076858300),,,,,
,,,,Watson J.E.M.(55213700400),,,,,
,,,,Murray N.J.(55516662500),,,,,
,,,,Tulloch V.J.D.(55647748700),,,,,
,,,,Ringma J.(56245010000),,,,,
,,,,Auerbach N.A.(56354783500),,,,,
,,,,Barnes M.(56517567900),,,,,
,,,,Harlen O.G.(6603789552),,,,,
,,,,Mulholland A.J.(7004313834),,,,,
,,,,Khalid S.(7005011249),,,,,
,,,,Pearson A.R.(7401994245),,,,,
,,,,Harris S.A.(7403484884),,,,,
,,,,Lonsdale R.(35488072400),,,,,
,,,,Leung Y.M.(37059325200),,,,,
,,,,Richardson R.A.(56493993600),,,,,
,,,,Read D.J.(56679086700),,,,,
,,,,Gray A.(57217450277),,,,,
,,,,Han J.(7406440402),,,,,
,,,,Lee H.(8080313300),,,,,
,,,,Park T.(15749503900),,,,,
,,,,Rengaraj D.(22836159100),,,,,
,,,,Kang K.(36632287300),,,,,
,,,,Park Y.(56484866100),,,,,
,,,,Lee H.(56484903100),,,,,
,,,,Kim Y.(56554503600),,,,,
,,,,Kim H.(56590411300),,,,,
,,,,Yang S.(56814078900),,,,,
,,,,Lee H.(57196309213),,,,,
,,,,Joensuu M.(8644480900),,,,,
,,,,Ervasti J.(23491880900),,,,,
,,,,Koskinen A.(23980401200),,,,,
,,,,Ahola K.(34567519100),,,,,
,,,,Mattila-Holappa P.(55600386600),,,,,
,,,,Kivekäs T.(55897028700),,,,,
,,,,Petr-Gotzens M.G.(6505949341),,,,,
,,,,De Wit W.J.(6701604116),,,,,
,,,,Boffin H.M.J.(6701810717),,,,,
,,,,Romaniello M.(6701843258),,,,,
,,,,De Marchi G.(7007170118),,,,,
,,,,Drew J.E.(7103125772),,,,,
,,,,Walsh J.R.(7404417041),,,,,
,,,,Wright N.J.(8859075500),,,,,
,,,,Beccari G.(35236072000),,,,,
,,,,Panagia N.(35400629400),,,,,
,,,,Testi L.(35461328600),,,,,
,,,,Manara C.F.(55329004700),,,,,
,,,,Mieske S.(55933358400),,,,,
,,,,Kalari V.M.(56108614500),,,,,
,,,,Fedele D.(56233212600),,,,,
,,,,Martin E.L.(57203581246),,,,,
,,,,Vink J.S.(57205940294),,,,,
,,,,Carraro G.(57206132735),,,,,
,,,,Ramchurn S.(6603260372),,,,,
,,,,Rodden T.(7003488009),,,,,
,,,,Crabtree A.(7004457214),,,,,
,,,,Jewell M.(14016052900),,,,,
,,,,Costanza E.(22834126300),,,,,
,,,,Fischer J.(36095705300),,,,,
,,,,Colley J.(55841380900),,,,,
,,,,Di Toro G.(6506298737),,,,,
,,,,Andrews M.(7202479304),,,,,
,,,,Mitchell T.M.(39262157300),,,,,
,,,,White J.C.(55387791100),,,,,
,,,,Rempe M.(55806037200),,,,,
,,,,Rowe C.D.(56542746400),,,,,
,,,,Aretusini S.(56646472200),,,,,
,,,,Lamothe K.(57194426756),,,,,
,,,,Pedlar C.R.(8502823700),,,,,
,,,,Lewis N.A.(36174997600),,,,,
,,,,Moore B.(56403932200),,,,,
,,,,Redgrave A.(57056021100),,,,,
,,,,Martinson W.(57200541923),,,,,
,,,,Homer M.(57200599314),,,,,
,,,,Lee G.(7404852067),,,,,
,,,,Weisskopf A.(36118300000),,,,,
,,,,Curk T.(6506958162),,,,,
,,,,Zupan B.(7003934784),,,,,
,,,,Zitnik M.(55176740400),,,,,
,,,,Strazar M.(55603807500),,,,,
,,,,Ule J.(57204150692),,,,,
,,,,Pancino E.(6601959507),,,,,
,,,,Randich S.(7003324084),,,,,
,,,,Bragaglia A.(7004562643),,,,,
,,,,Jeffries R.D.(7006670609),,,,,
,,,,Gilmore G.F.(7103375960),,,,,
,,,,Lewis J.(8697356800),,,,,
,,,,Zaggia S.(8888656400),,,,,
,,,,Jofre P.(14824876400),,,,,
,,,,Sacco G.G.(15840410000),,,,,
,,,,Bayo A.(18433444800),,,,,
,,,,Jackson R.J.(23995377000),,,,,
,,,,Worley C.C.(24449508300),,,,,
,,,,Lardo C.(36662538000),,,,,
,,,,Casey A.R.(44560970300),,,,,
,,,,Magrini L.(55139912800),,,,,
,,,,Evans N.W.(55566835100),,,,,
,,,,Koposov S.(55916474900),,,,,
,,,,Hourihane A.(55998551200),,,,,
,,,,Franciosini E.(55998935000),,,,,
,,,,Williams A.A.(56225950600),,,,,
,,,,Flaccomio E.(56830323400),,,,,
,,,,Morbidelli L.(56990829100),,,,,
,,,,Sanders J.L.(57195339746),,,,,
,,,,Jeffreson S.M.R.(57205623974),,,,,
,,,,Gaunt T.R.(6603377285),,,,,
,,,,Relton C.(6603403494),,,,,
,,,,Micali N.(16031429800),,,,,
,,,,Kazmi N.(57210384993),,,,,
,,,,McComas D.(7006360125),,,,,
,,,,Elliott H.(7202609371),,,,,
,,,,Bagenal F.(8431596700),,,,,
,,,,Ebert R.(22834091900),,,,,
,,,,Savva R.(6602535638),,,,,
,,,,Cole A.(7201573921),,,,,
,,,,Barrett T.(7202538434),,,,,
,,,,Bagnéris C.(8404736800),,,,,
,,,,Earl C.(56906048600),,,,,
,,,,Zeman K.(57203662911),,,,,
,,,,Cong S.(7005067661),,,,,
,,,,Li K.(55488020900),,,,,
,,,,Stanga P.E.(6602197864),,,,,
,,,,Geruschat D.R.(6602862081),,,,,
,,,,da Cruz L.(6701376895),,,,,
,,,,Dagnelie G.(7003576503),,,,,
,,,,Thumann G.(7003922731),,,,,
,,,,Duncan J.L.(7401893019),,,,,
,,,,Greenberg R.J.(7402059687),,,,,
,,,,Ho A.C.(7402675099),,,,,
,,,,Dorn J.D.(26531077400),,,,,
,,,,Olmos de Koo L.C.(55884004100),,,,,
,,,,Richards T.P.(57127587100),,,,,
,,,,Wang V.(57127661600),,,,,
,,,,Arditi A.(57207554001),,,,,
,,,,Mein C.A.(6603586476),,,,,
,,,,Hawrylowicz C.M.(7004126309),,,,,
,,,,Walton R.(7202400704),,,,,
,,,,Monteiro W.R.(8314051300),,,,,
,,,,Venton T.R.(16937502000),,,,,
,,,,Hoti M.(36484798800),,,,,
,,,,Sadique Z.(37009233000),,,,,
,,,,MacLaughlin B.D.(55981282000),,,,,
,,,,Rowe M.(56499948800),,,,,
,,,,McLaughlin D.(56500015600),,,,,
,,,,Fletcher G.(56647659000),,,,,
,,,,Kilpin K.(56647974000),,,,,
,,,,Grigg J.(57203077928),,,,,
,,,,Werner J.S.(7403266121),,,,,
,,,,Lee K.(7501498868),,,,,
,,,,De Remigis P.(16019260400),,,,,
,,,,Gray J.(35223118000),,,,,
,,,,Lee S.(37093434700),,,,,
,,,,Tosi S.(55137940600),,,,,
,,,,Malek M.(55347113400),,,,,
,,,,Christian A.(56681880800),,,,,
,,,,Mareskas-Palcek D.(56682120300),,,,,
,,,,Yin H.(56706772300),,,,,
,,,,Costa M.(56978617500),,,,,
,,,,Lee J.(57199190287),,,,,
,,,,Dominguez A.(57202531841),,,,,
,,,,Lee K.S.(57203464100),,,,,
,,,,Hansen P.(57214528957),,,,,
,,,,Srimanobhas N.(57216625746),,,,,
,,,,Massey R.(7102174334),,,,,
,,,,Israel H.(8675310000),,,,,
,,,,Peters L.(15058026800),,,,,
,,,,Stylinski C.(6507146334),,,,,
,,,,Becker-Klein R.(8853655800),,,,,
,,,,Nelson A.G.(35622592000),,,,,
,,,,Peterman K.(56178547100),,,,,
,,,,Sheiham A.(7102814490),,,,,
,,,,Golkari A.(36027425500),,,,,
,,,,Sabokseir A.(37091618500),,,,,
,,,,Bhudia S.(6506526076),,,,,
,,,,Drury N.E.(6601964687),,,,,
,,,,Frenneaux M.(7004392953),,,,,
,,,,Ranasinghe A.M.(7004936871),,,,,
,,,,Freemantle N.(7006066134),,,,,
,,,,Rooney S.J.(7102203298),,,,,
,,,,Graham T.R.(7202202914),,,,,
,,,,Green D.(7404387029),,,,,
,,,,Mascaro J.(14066523100),,,,,
,,,,Oelofse T.(23397950700),,,,,
,,,,Senanayake E.L.(35731974000),,,,,
,,,,Howell N.J.(35770657200),,,,,
,,,,Lewis M.(46161260200),,,,,
,,,,Wilson I.C.(57189007427),,,,,
,,,,Zerbes S.L.(6508170603),,,,,
,,,,Lei A.(36146310700),,,,,
,,,,Loeffler D.(36952170600),,,,,
,,,,Ritchie M.(36186273500),,,,,
,,,,Fioranelli F.(55574564400),,,,,
,,,,Holubar S.D.(6507238969),,,,,
,,,,Bennett-Guerrero E.(7004135932),,,,,
,,,,Pryor A.(7005275451),,,,,
,,,,Carli F.(7005607093),,,,,
,,,,Kent M.L.(7102779792),,,,,
,,,,Gan T.J.(7103369948),,,,,
,,,,Feldman L.S.(7202789490),,,,,
,,,,Abola R.E.(8879828000),,,,,
,,,,McEvoy M.D.(15738895900),,,,,
,,,,Hedrick T.L.(19933400300),,,,,
,,,,Fiore J.F.(25951342900),,,,,
,,,,Kozar R.(26643426000),,,,,
,,,,Shaw A.D.(35515911700),,,,,
,,,,Thiele R.H.(35883382600),,,,,
,,,,Miller T.E.(36843561700),,,,,
,,,,Grocott M.(55348894800),,,,,
,,,,Evans D.C.(55478752000),,,,,
,,,,Gupta R.(55488120400),,,,,
,,,,Everett S.(56865683000),,,,,
,,,,Thacker J.K.M.(57027288300),,,,,
,,,,Senagore A.J.(57197782074),,,,,
,,,,Guilbert S.(57208347089),,,,,
,,,,Jogai S.(6602450452),,,,,
,,,,Sanchez-Elsner T.(6602837335),,,,,
,,,,Rand L.(7004527396),,,,,
,,,,Proud C.G.(7006929886),,,,,
,,,,Steele A.J.(7102182480),,,,,
,,,,Friedland J.S.(7102333663),,,,,
,,,,Bielecka M.K.(35558142200),,,,,
,,,,Millar T.M.(36897500700),,,,,
,,,,Tezera L.B.(37028972600),,,,,
,,,,Mellows T.(55897461700),,,,,
,,,,Tian S.(56177510600),,,,,
,,,,Brace P.T.(57193081972),,,,,
,,,,Elkington P.T.(57194531731),,,,,
,,,,Garay D.(57194728310),,,,,
,,,,Green J.(57199008047),,,,,
,,,,Cole T.(7201770477),,,,,
,,,,Ahmed M.(7402831598),,,,,
,,,,Preece M.(35405875600),,,,,
,,,,Dunger D.(56846858800),,,,,
,,,,Hindmarsh P.(57203616076),,,,,
,,,,Sakamoto A.C.(7201515956),,,,,
,,,,Escorsi-Rosset S.(12770131900),,,,,
,,,,de Vasconcelos Geraldi C.(57194612442),,,,,
,,,,Silva A.C.G.(57194612588),,,,,
,,,,Thompson P.(57203018933),,,,,
,,,,Rossiter S.(7003725603),,,,,
,,,,Dessimoz C.(11739647400),,,,,
,,,,Tsagkogeorga G.(26657764900),,,,,
,,,,Müller S.(56510879400),,,,,
,,,,Orozco-Terwengel P.(14626641400),,,,,
,,,,Young R.P.(14720492700),,,,,
,,,,Garcia G.(22934092100),,,,,
,,,,Griffiths R.A.(55227062300),,,,,
,,,,Hudson M.A.(55656978900),,,,,
,,,,Thomas R.(56384742400),,,,,
,,,,Sulton M.(56386138800),,,,,
,,,,Bruford M.W.(56840234000),,,,,
,,,,Martin L.(57040318500),,,,,
,,,,Magin C.(57190579313),,,,,
,,,,D'Urban Jackson J.(57190585433),,,,,
,,,,Cunningham A.A.(57203051586),,,,,
,,,,James A.(57212414138),,,,,
,,,,Pinskerova V.(6603166883),,,,,
,,,,Banks S.A.(7201624607),,,,,
,,,,Scott G.(7402930299),,,,,
,,,,Field R.E.(8873915200),,,,,
,,,,Stammers J.G.(55241521700),,,,,
,,,,Freeman M.A.R.(56692175600),,,,,
,,,,Key S.(57209176841),,,,,
,,,,Tadić V.(24077258100),,,,,
,,,,Keeley S.(35848646200),,,,,
,,,,Hundt L.(56514038300),,,,,
,,,,Taussig D.(6603776556),,,,,
,,,,Cavenagh J.D.(7003577472),,,,,
,,,,Gribben J.G.(7004639728),,,,,
,,,,Davies J.K.(7404982955),,,,,
,,,,Oakervee H.(8645054800),,,,,
,,,,Sarker S.J.(23012898100),,,,,
,,,,Hassan S.(35302436200),,,,,
,,,,Besley C.(57191830711),,,,,
,,,,Alfè D.(7004035504),,,,,
,,,,Von Lilienfeld O.A.(8685459200),,,,,
,,,,Michaelides A.(56210204700),,,,,
,,,,Al-Hamdani Y.S.(56397085200),,,,,
,,,,Gruar R.(36191826400),,,,,
,,,,Makwana N.(55652047200),,,,,
,,,,Tighe C.(56595697500),,,,,
,,,,Denis C.(56823135500),,,,,
,,,,Seeds A.J.(7004751445),,,,,
,,,,Ross I.(7202066975),,,,,
,,,,Chen S.(54939079100),,,,,
,,,,Tang M.(55365959800),,,,,
,,,,Yu Y.(55731485900),,,,,
,,,,Li W.(56801227500),,,,,
,,,,Yang C.(57188678448),,,,,
,,,,Liu L.(57188691249),,,,,
,,,,Zhou L.(57188692719),,,,,
,,,,Liao M.(57190436073),,,,,
,,,,Yu S.(57199322085),,,,,
,,,,Wang Y.(57200063743),,,,,
,,,,Liu Z.(57202133987),,,,,
,,,,van Hoek A.J.(24554371200),,,,,
,,,,Desai S.(26427608100),,,,,
,,,,Ong K.J.(57044173800),,,,,
,,,,Kleinberg B.(56518219900),,,,,
,,,,Kamps J.(57204801273),,,,,
,,,,Jacquin-Courtois S.(6508068879),,,,,
,,,,Bays P.M.(8640532300),,,,,
,,,,Gorgoraptis N.(35995704600),,,,,
,,,,Ong Y.H.(55228562100),,,,,
,,,,Leff A.P.(57216595043),,,,,
,,,,Mumovic D.(14040664500),,,,,
,,,,Hong S.M.(55800834600),,,,,
,,,,Robertson C.(56435330600),,,,,
,,,,Killestein J.(7004423164),,,,,
,,,,Wattjes M.P.(8302719300),,,,,
,,,,Rimkus C.M.(21741461600),,,,,
,,,,Schoonheim M.M.(25958454400),,,,,
,,,,Leite C.C.(26643562500),,,,,
,,,,Steenwijk M.D.(55653016200),,,,,
,,,,Eijlers A.J.C.(57193553789),,,,,
,,,,Tijms B.M.(57204782423),,,,,
,,,,Crespo-Facorro B.(6603814621),,,,,
,,,,Labad J.(23012254900),,,,,
,,,,Ayesa-Arriola R.(36016167600),,,,,
,,,,Delgado-Alvarado M.(55382885300),,,,,
,,,,González-Gómez J.(57113309100),,,,,
,,,,Setién-Suero E.(57189708702),,,,,
,,,,Canal Rivero M.(57191248489),,,,,
,,,,David A.(57208765987),,,,,
,,,,Charteris D.(7003299563),,,,,
,,,,Mills K.(7202875406),,,,,
,,,,Eastlake K.(54787676900),,,,,
,,,,Banerjee P.(55622180600),,,,,
,,,,Heywood W.E.(56458521200),,,,,
,,,,Limb G.A.(56785711800),,,,,
,,,,Bliss E.(56989017700),,,,,
,,,,He L.(36079608700),,,,,
,,,,Deng J.(51963506200),,,,,
,,,,Xie M.x.(55561008700),,,,,
,,,,Wang J.(55742609100),,,,,
,,,,Han W.(56883594300),,,,,
,,,,Hu Y.f.(57157597500),,,,,
,,,,Cao H.y.(57158160500),,,,,
,,,,Hong L.(57158395900),,,,,
,,,,Song B.c.(57188835612),,,,,
,,,,Peng Y.(57188842138),,,,,
,,,,Wang B.(57188844303),,,,,
,,,,Wang Y.(57193880257),,,,,
,,,,Huang W.y.(57195310738),,,,,
,,,,Silventoinen K.(6603957862),,,,,
,,,,Männistö S.(6701509717),,,,,
,,,,Salomaa V.(7004714461),,,,,
,,,,Jousilahti P.(7005647985),,,,,
,,,,Konttinen H.(24174858800),,,,,
,,,,Kaprio J.(35379599600),,,,,
,,,,Haukkala A.(55883867800),,,,,
,,,,Joensuu A.(56019928900),,,,,
,,,,Perola M.(57218701932),,,,,
,,,,Shipley R.J.(24921854100),,,,,
,,,,Sweeney P.W.(57200371136),,,,,
,,,,Walker-Samuel S.(57203674289),,,,,
,,,,Manzo A.(8383681700),,,,,
,,,,Stevens C.J.(26034718600),,,,,
,,,,Murphy C.(55500340100),,,,,
,,,,Fuller D.Q.(56844729800),,,,,
,,,,Beldados A.(57160304000),,,,,
